Condition,dominance,group,faces,Subject
threetofour_Dominance,0.889,Three_to_Four_Years_Old,Dominance,1
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,2
threetofour_Dominance,0.889,Three_to_Four_Years_Old,Dominance,3
threetofour_Dominance,0.444,Three_to_Four_Years_Old,Dominance,4
threetofour_Dominance,0.889,Three_to_Four_Years_Old,Dominance,5
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,6
threetofour_Dominance,0.778,Three_to_Four_Years_Old,Dominance,7
threetofour_Dominance,0.556,Three_to_Four_Years_Old,Dominance,8
threetofour_Dominance,0.889,Three_to_Four_Years_Old,Dominance,9
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,10
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,11
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,12
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,13
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,14
threetofour_Dominance,0.889,Three_to_Four_Years_Old,Dominance,15
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,16
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,17
threetofour_Dominance,0.778,Three_to_Four_Years_Old,Dominance,18
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,19
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,20
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,21
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,22
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,23
threetofour_Dominance,0.444,Three_to_Four_Years_Old,Dominance,24
threetofour_Dominance,0.667,Three_to_Four_Years_Old,Dominance,25
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,26
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,27
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,28
threetofour_Dominance,0.667,Three_to_Four_Years_Old,Dominance,29
threetofour_Dominance,1,Three_to_Four_Years_Old,Dominance,30
